detector,scenario,true_label,predicted,score,correct,latency_ms,repeat
UncertaintyOnly,ood_samples,1,1,0.5427378789523016,1,57.96051025390625,10
UncertaintyOnly,ood_samples,1,1,0.5445868216886682,1,59.13805961608887,11
UncertaintyOnly,ood_samples,1,1,0.5474733151961511,1,60.312509536743164,12
UncertaintyOnly,ood_samples,1,1,0.5463672270185318,1,58.66599082946777,13
UncertaintyOnly,ood_samples,1,1,0.5469219059336035,1,56.80727958679199,14
UncertaintyOnly,ood_samples,1,1,0.5465462703240449,1,57.70158767700195,15
UncertaintyOnly,ood_samples,1,1,0.5454915261510979,1,58.79616737365723,16
UncertaintyOnly,ood_samples,1,1,0.5477379900474277,1,57.18255043029785,17
UncertaintyOnly,ood_samples,1,1,0.5482871142237896,1,57.13486671447754,18
UncertaintyOnly,ood_samples,1,1,0.5465869243533293,1,57.06477165222168,19
UncertaintyOnly,corrupted_data,1,0,0.41240292666613304,0,57.06501007080078,0
UncertaintyOnly,corrupted_data,1,0,0.41674296245165143,0,57.32321739196777,1
UncertaintyOnly,corrupted_data,1,0,0.41456808104282816,0,57.77907371520996,2
UncertaintyOnly,corrupted_data,1,0,0.40777596295910973,0,57.33537673950195,3
UncertaintyOnly,corrupted_data,1,0,0.4171800760705152,0,56.915283203125,4
UncertaintyOnly,corrupted_data,1,0,0.41508395111557056,0,57.404518127441406,5
UncertaintyOnly,corrupted_data,1,0,0.41052692171508776,0,57.21855163574219,6
UncertaintyOnly,corrupted_data,1,0,0.4128510347047569,0,56.52308464050293,7
UncertaintyOnly,corrupted_data,1,0,0.4069938525288107,0,57.741641998291016,8
UncertaintyOnly,corrupted_data,1,0,0.4108442012637867,0,57.75046348571777,9
UncertaintyOnly,corrupted_data,1,0,0.41071444335818197,0,56.69879913330078,10
UncertaintyOnly,corrupted_data,1,0,0.41465737635473165,0,58.05468559265137,11
UncertaintyOnly,corrupted_data,1,0,0.4097925523090519,0,57.13486671447754,12
UncertaintyOnly,corrupted_data,1,0,0.4141425438388069,0,57.3580265045166,13
UncertaintyOnly,corrupted_data,1,0,0.41245263735109927,0,57.505130767822266,14
UncertaintyOnly,corrupted_data,1,0,0.41423960697449036,0,57.59167671203613,15
UncertaintyOnly,corrupted_data,1,0,0.412621840246022,0,58.821916580200195,16
UncertaintyOnly,corrupted_data,1,0,0.4186996862341227,0,57.146549224853516,17
UncertaintyOnly,corrupted_data,1,0,0.4084476944160699,0,49.95322227478027,18
UncertaintyOnly,corrupted_data,1,0,0.414014312820249,0,58.51149559020996,19
QualityOnly,no_failure,0,0,0.0002,1,0.1499652862548828,0
QualityOnly,no_failure,0,0,0.0002,1,0.13518333435058594,1
QualityOnly,no_failure,0,0,0.0002,1,0.12493133544921875,2
QualityOnly,no_failure,0,0,0.0002,1,0.2510547637939453,3
QualityOnly,no_failure,0,0,0.0002,1,0.15997886657714844,4
QualityOnly,no_failure,0,0,0.0002,1,0.156402587890625,5
QualityOnly,no_failure,0,0,0.0002,1,0.17881393432617188,6
QualityOnly,no_failure,0,0,0.0002,1,0.1552104949951172,7
QualityOnly,no_failure,0,0,0.0002,1,0.1499652862548828,8
QualityOnly,no_failure,0,0,0.0002,1,0.11801719665527344,9
QualityOnly,no_failure,0,0,0.0002,1,0.13899803161621094,10
QualityOnly,no_failure,0,0,0.0002,1,0.1513957977294922,11
QualityOnly,no_failure,0,0,0.0002,1,0.13589859008789062,12
QualityOnly,no_failure,0,0,0.0002,1,0.11801719665527344,13
QualityOnly,no_failure,0,0,0.0002,1,0.12135505676269531,14
QualityOnly,no_failure,0,0,0.0002,1,0.11754035949707031,15
QualityOnly,no_failure,0,0,0.0002,1,0.11801719665527344,16
QualityOnly,no_failure,0,0,0.0002,1,0.11587142944335938,17
QualityOnly,no_failure,0,0,0.0002,1,0.12636184692382812,18
QualityOnly,no_failure,0,0,0.0002,1,0.2429485321044922,19
QualityOnly,data_drift,1,0,0.0065,0,0.13208389282226562,0
QualityOnly,data_drift,1,0,0.0066,0,0.12254714965820312,1
QualityOnly,data_drift,1,0,0.0067,0,0.13947486877441406,2
QualityOnly,data_drift,1,0,0.0065,0,0.12183189392089844,3
QualityOnly,data_drift,1,0,0.0066,0,0.11873245239257812,4
